"Номер вектора","Номер задачи","amax","Целевой вес"
2,74,106528681.309991,413646116
2,75,106528681.309991,234101568
2,76,106528681.309991,119893773
2,77,106528681.309991,336022795
2,78,106528681.309991,718392863
2,79,106528681.309991,538799526
2,80,106528681.309991,305006588
2,81,106528681.309991,466687538
2,82,106528681.309991,384948105
2,83,106528681.309991,362520514
2,84,106528681.309991,502145413
2,85,106528681.309991,320792974
2,86,106528681.309991,219593004
2,87,106528681.309991,545117523
2,88,106528681.309991,561414458
2,89,106528681.309991,69767006
2,90,106528681.309991,213821372
2,91,106528681.309991,189364463
2,92,106528681.309991,417296734
2,93,106528681.309991,198093363
2,94,106528681.309991,325454506
2,95,106528681.309991,196068037
2,96,106528681.309991,350617589
2,97,106528681.309991,125435680
2,98,106528681.309991,43142758
2,99,106528681.309991,205339529
2,100,106528681.309991,175571277
3,101,16777216,59440943
3,102,16777216,36225766
3,103,16777216,74471460
3,104,16777216,13117956
3,105,16777216,27856662
3,106,16777216,105525428
3,107,16777216,55882261
3,108,16777216,52411506
3,109,16777216,37032259
3,110,16777216,71572306
3,111,16777216,54749608
3,112,16777216,70917689
3,113,16777216,24908099
3,114,16777216,100772105
3,115,16777216,50322460
3,116,16777216,41945251
3,117,16777216,30516842
3,118,16777216,69601122
3,119,16777216,93034400
3,120,16777216,71823384
3,121,16777216,63004725
3,122,16777216,65651932
3,123,16777216,24719152
3,124,16777216,66473793
3,125,16777216,44661538
3,126,16777216,28979691
3,127,16777216,47562706
3,128,16777216,80315356
3,129,16777216,74359814
3,130,16777216,10309494
3,131,16777216,41567214
3,132,16777216,57399136
3,133,16777216,39930787
3,134,16777216,55874465
3,135,16777216,78445222
3,136,16777216,35923890
3,137,16777216,27194798
3,138,16777216,107012558
3,139,16777216,41128953
3,140,16777216,23920736
3,141,16777216,110042835
3,142,16777216,32403682
3,143,16777216,20958745
3,144,16777216,27513674
3,145,16777216,51772736
3,146,16777216,6459738
3,147,16777216,88668943
3,148,16777216,86789657
3,149,16777216,61165327
3,150,16777216,89873115
4,151,3697661.72719483,20319839
4,152,3697661.72719483,12609826
4,153,3697661.72719483,6923286
4,154,3697661.72719483,6808076
4,155,3697661.72719483,9807869
4,156,3697661.72719483,15817728
4,157,3697661.72719483,11648547
4,158,3697661.72719483,20181773
4,159,3697661.72719483,16550637
4,160,3697661.72719483,3363749
4,161,3697661.72719483,5423878
4,162,3697661.72719483,2533424
4,163,3697661.72719483,17103142
4,164,3697661.72719483,23879135
4,165,3697661.72719483,20456556
4,166,3697661.72719483,17920238
4,167,3697661.72719483,16414416
4,168,3697661.72719483,1862359
4,169,3697661.72719483,15037622
4,170,3697661.72719483,18734397
4,171,3697661.72719483,20975778
4,172,3697661.72719483,5322559
4,173,3697661.72719483,3501145
4,174,3697661.72719483,24841275
4,175,3697661.72719483,11274076
4,176,3697661.72719483,13293442
4,177,3697661.72719483,10930015
4,178,3697661.72719483,12633407
4,179,3697661.72719483,20233897
4,180,3697661.72719483,18255810
4,181,3697661.72719483,17260701
4,182,3697661.72719483,18470740
4,183,3697661.72719483,18522702
4,184,3697661.72719483,1435529
4,185,3697661.72719483,7687745
4,186,3697661.72719483,4436450
4,187,3697661.72719483,2533424
4,188,3697661.72719483,24557442
4,189,3697661.72719483,22814962
4,190,3697661.72719483,1288018
4,191,3697661.72719483,21069449
4,192,3697661.72719483,10300426
4,193,3697661.72719483,21272610
4,194,3697661.72719483,292505
4,195,3697661.72719483,17440344
4,196,3697661.72719483,2432105
4,197,3697661.72719483,15500982
4,198,3697661.72719483,15109876
4,199,3697661.72719483,4226276
4,200,3697661.72719483,3035448
5,201,1048576,5607913
5,202,1048576,3302365
5,203,1048576,1327204
5,204,1048576,7000641
5,205,1048576,3533712
5,206,1048576,2001108
5,207,1048576,9883593
5,208,1048576,2630910
5,209,1048576,1458977
5,210,1048576,3621098
5,211,1048576,2777205
5,212,1048576,7960442
5,213,1048576,7013143
5,214,1048576,5327837
5,215,1048576,1984663
5,216,1048576,5587682
5,217,1048576,3754327
5,218,1048576,6126843
5,219,1048576,3436965
5,220,1048576,3049244
5,221,1048576,3778382
5,222,1048576,3869786
5,223,1048576,4818440
5,224,1048576,3346256
5,225,1048576,5113085
5,226,1048576,1329019
5,227,1048576,458264
5,228,1048576,8565151
5,229,1048576,4743794
5,230,1048576,1915127
5,231,1048576,7747362
5,232,1048576,5377537
5,233,1048576,2620155
5,234,1048576,4882061
5,235,1048576,7776695
5,236,1048576,7238637
5,237,1048576,6645581
5,238,1048576,3782987
5,239,1048576,5881868
5,240,1048576,2628075
5,241,1048576,3286233
5,242,1048576,7717072
5,243,1048576,6332873
5,244,1048576,7624471
5,245,1048576,1609069
5,246,1048576,5741021
5,247,1048576,3231836
5,248,1048576,3451694
5,249,1048576,4599424
5,250,1048576,4776829
6,251,360974.76557387,247852
6,252,360974.76557387,1915121
6,253,360974.76557387,1230524
6,254,360974.76557387,1867440
6,255,360974.76557387,747180
6,256,360974.76557387,682668
6,257,360974.76557387,1554214
6,258,360974.76557387,1491161
6,259,360974.76557387,1853698
6,260,360974.76557387,1234746
6,261,360974.76557387,1899018
6,262,360974.76557387,1773983
6,263,360974.76557387,795877
6,264,360974.76557387,1781346
6,265,360974.76557387,1592840
6,266,360974.76557387,1834889
6,267,360974.76557387,153639
6,268,360974.76557387,1323784
6,269,360974.76557387,1518414
6,270,360974.76557387,1672025
6,271,360974.76557387,813130
6,272,360974.76557387,1851586
6,273,360974.76557387,1517767
6,274,360974.76557387,1653086
6,275,360974.76557387,1066823
6,276,360974.76557387,1065683
6,277,360974.76557387,241334
6,278,360974.76557387,823849
6,279,360974.76557387,607112
6,280,360974.76557387,1366400
6,281,360974.76557387,1721208
6,282,360974.76557387,1188353
6,283,360974.76557387,1454299
6,284,360974.76557387,965073
6,285,360974.76557387,578060
6,286,360974.76557387,1637425
6,287,360974.76557387,1560144
6,288,360974.76557387,1406429
6,289,360974.76557387,732851
6,290,360974.76557387,296022
6,291,360974.76557387,584631
6,292,360974.76557387,1128780
6,293,360974.76557387,1676205
6,294,360974.76557387,733126
6,295,360974.76557387,1742823
6,296,360974.76557387,286137
6,297,360974.76557387,1075555
6,298,360974.76557387,890442
6,299,360974.76557387,424050
6,300,360974.76557387,1956657
7,301,144715.220736254,98981
7,302,144715.220736254,306124
7,303,144715.220736254,615101
7,304,144715.220736254,588463
7,305,144715.220736254,65042
7,306,144715.220736254,309592
7,307,144715.220736254,1038690
7,308,144715.220736254,453822
7,309,144715.220736254,714025
7,310,144715.220736254,148314
7,311,144715.220736254,959075
7,312,144715.220736254,82408
7,313,144715.220736254,283915
7,314,144715.220736254,299994
7,315,144715.220736254,139491
7,316,144715.220736254,571310
7,317,144715.220736254,204635
7,318,144715.220736254,431364
7,319,144715.220736254,751782
7,320,144715.220736254,662140
7,321,144715.220736254,561608
7,322,144715.220736254,479171
7,323,144715.220736254,838063
7,324,144715.220736254,701059
7,325,144715.220736254,768452
7,326,144715.220736254,967713
7,327,144715.220736254,617302
7,328,144715.220736254,741474
7,329,144715.220736254,938103
7,330,144715.220736254,28935
7,331,144715.220736254,1056266
7,332,144715.220736254,78916
7,333,144715.220736254,198723
7,334,144715.220736254,80664
7,335,144715.220736254,722503
7,336,144715.220736254,894665
7,337,144715.220736254,557337
7,338,144715.220736254,808978
7,339,144715.220736254,800902
7,340,144715.220736254,346944
7,341,144715.220736254,421656
7,342,144715.220736254,202324
7,343,144715.220736254,566752
7,344,144715.220736254,714327
7,345,144715.220736254,245652
7,346,144715.220736254,502070
7,347,144715.220736254,826822
7,348,144715.220736254,93618
7,349,144715.220736254,372998
7,350,144715.220736254,283044
