Номер задачи,Номер вектора,Целевой вес,Доля предметов
525,48,105196,0.3
526,48,89270,0.4
527,48,133014,0.5
528,48,53928,1.0
529,49,62736,0.1
530,49,108121,0.2
531,49,118251,0.3
532,49,65256,0.4
533,49,106038,0.5
534,49,117843,0.1
535,49,20842,0.2
536,49,134590,0.3
537,49,53827,0.4
538,49,13325,0.5
539,49,71876,1.0
540,50,23050,0.1
541,50,127603,0.2
542,50,139680,0.3
543,50,109032,0.4
544,50,120804,0.5
545,50,115279,0.1
546,50,67876,0.2
547,50,15137,0.3
548,50,8319,0.4
549,50,53325,0.5
550,50,125069,1.0
