Номер вектора,Вектор,amax
16,"[  2815 122376  21544  30815  90074  29352  79397  48966  35461 121793
  13768 118458 131591  76048   7908  59662  32922 142035  56414  80173
  94689 109285 139288  30868]",142035
17,"[111766  20268  32165 129308  76559  88001 122745  73794  43718 130163
 110629  47695 114500 128717 135235  23544  49363  65251 101173   9227
  17436 102530  62871  45331]",135235
18,"[ 33376  89676  40209  87874 134976  10008 107367 113669  51776 140638
  15873 132674  43060  98817  67590 102139  23062  15477 125236  10532
 103940  71584  14997 129970]",140638
19,"[  8786  93185  80925  90596  99426 139312  36384  35260 120924  84215
  54864 120296  69292   1517 139300 109016 141527 107993  82087  27352
  75503 129529 136285  53769]",141527
20,"[ 19851  58892 127869  45248  92273  16046 104202 118230   7252  16193
  59718 112449  54097    148 112143  69668  25942  63245  60509  41597
 100177  29818 118522  33775]",127869
21,"[  1832 140588   7804  67606 122098  71823  23198 104483   6499  73388
 109502  32860   7531 133640  55741  25572 107235  58018 114782 130778
 127649  38912  88318  14596]",140588
22,"[ 23157  19887  95108  88552  31911 129080   6171 115350  40601  93890
  74086  83642   1507 101965 138246 138213  10584  22345  92033   6947
  78002  23281 100818  78668]",138246
23,"[ 79414  26322 125966  54949  72217  11102  22019  63989  36882  54678
 139655  23919 141038  74823  22803 127850   8274  40180  10970 119707
  29900  30313  65708  92913]",141038
24,"[  7349  64765  45580  96171 100322  91869   9342  74032 136356 119884
  66942  89192  38341 115307 100218  19543 101538   7116  82291  54236
   8783 125270 137090  56726]",137090
25,"[103890  60402  40234 137751  90437  33200 105171 130733 102644   3718
  41991  65806  34676  45799   9632  89167  86935 134552  17823  39324
  25620 142506  43694   9261]",142506
26,"[ 40802  97492  55664 132194  30769  33125 128313  19552  53731   7737
  85773  55820  41474  43485 132632  45809  13827 113257 124447  17920
  16912  99377  66917 112085]",132632
27,"[  7929  93719  30222 122249  71398  16364 112234 109779  15613  23964
 126898 132596 133623  73730 114830  21309  81732  95874  29641  86564
 108945 142656  18503 117765]",142656
28,"[ 41800  78394 143742  34205  25035   4806 107167  41662 121999  26640
  30125  76715  97466  72240 135887  73740  23059  24305  40371 137214
  90506  88332  85748  49674]",143742
29,"[136197  69783    146  82230 134577  51939  26967   7082  80300 137405
  36710 137319 108881  75865  74255  74902 136327 104065 105399  55113
  69957  17630  56589 137334]",137405
30,"[ 56990 128362   2400 144104  57363   3190  36680  45481  64850 130707
  11246  45754 123976  57613  87941  66764  78452  59018  58640  22695
  49587   3512 126904 140684]",144104
31,"[ 18276 113181  71908 127953   5933 117413 121383  57088   5266  74102
  85427  73715 127278 102988  77011 134941  54594 110738   3324 130673
  20172  33805  95864  10194]",134941
32,"[ 18574  71110 142820  40142  58760  95612 120835 114131   2641   4714
 124164  34638 135489  48086    175  88845   1148 114730 144244 105589
   3591  26879  93565 102492]",144244
33,"[132688  95939  71148  67764 139549   8420  52921   7093  46617 118056
 115923  78735  27654   8384  49801    589  21864 127482 102373 112979
 131697 130276  91659  34707]",139549
34,"[104165  86384  22345 141174 116663  53937  58745 116945  75604  80405
  99232  19428  28693 116687 126328  78211  29928  31126 132897  75212
   4398  87822  28428 114057]",141174
35,"[ 51611 110319 105270 107318  26010  94273  96096 113372  74055 122417
  33160  38141  25299  64058 119783 138666 134868  76503 100856  64168
 105077  92363  19034  89343]",138666
36,"[ 37757  15455  21022  38828 117426  34403  61326  12100  90515  32569
 135998  20979 130969  35587 121918 136461  87963   5860  28742  39871
 135100  22071 130746 139482]",139482
37,"[ 63570 132580  68440  70979  78038  91758 140417 107427  16876  82127
 127693 112060  84320  17268  73861  79261 114958  91829  60161  41629
 142772  47648  40576  17392]",142772
38,"[ 96344 103631 109474  95707 103565   1939  96786  90023 117479 129758
 100321  77610  90716  37069  34158 127602 125176  39924  21176 138210
 130434  39963   1751 114923]",138210
39,"[108214  72109 127423  97435  41819  29646  11154  55829  26427  15918
  65882 134683  24883   7209  87255  10865 141424 127040   1629  63185
   4233 136799  37541 103354]",141424
40,"[  5631  78787  15920  66599  98167 103519 141192  90086  88518 113114
  65825  67409  30477  66076  51982  68416 123895  74176  48700 121256
 120526 135600  50545  48425]",141192
41,"[112976 137437 114283 128992  44450  63523 142453 106254 118667 131570
   8826 111409  28556   5671  99284  80499  85599 110978  17120  66400
  33933 111702 101468  36892]",142453
42,"[ 71038  20240 135030 131804  95909  35722 143143 143446  29154 143237
  32694  83752  60393 134033  44533  13281  15511  84838  44922  79362
  31680  36442  65895  12341]",143446
43,"[ 40551  82567  84415  79822    824  59945 130108 112048 135532 131234
   2243  51758   3337  54158 102976  42845  50929  56760  71638  38123
  82539  97455    906 131527]",135532
44,"[ 29872  31965  65389   8746  12053 138349 100921  13632 127549  70660
  11643  53147 105575  72891 106219 141725   4745 116056  62854 117658
  27009  23325  62179  35805]",141725
45,"[ 24410  19927 133393  15741  42464 126029  41965 117410  47092 115399
  92485 122542 106896  66889  75999  19720 101262 118198  72282 119009
  59834  24971  64019  71825]",133393
46,"[ 71283  63685  42285  29339   7027  76545 104243  32980  28956 120462
 103464 112710 118532  74823 142286  94657  54101  69742  75681   8205
  27828  67234 130414 108696]",142286
47,"[ 39081  91271  36711  27189  89715  90674 123195 114886 119479  22641
 132732  72408 135118 118822 137629  53218  24903  58052  32297 131603
  92535    246  50983  45173]",137629
48,"[ 77295   8160   7926  45103  47859  21920  71270 102503  48657  66440
 102158  39631   6778  97375 110372  77664  37950   8351  57329  53436
 109116  13294  74584  13794]",110372
49,"[ 75309  86068 106491   2191 103473 130594  95053 112204   2580  36218
  41961    879  95398  48596  41673  23705  41549 109774  44260 108561
  11754  95664  30922 107379]",130594
50,"[128292 124938  29833   8966 103708 113669  32978  58729  98266 132768
 143278 122386 118673 119597  34563  11909  90357  47455  59038  53084
 113724 141491  27545 140435]",143278
